donor,recipient,distance,timetransmission,contacttype,simid
0,0.1,0.007,313.0161612217919,G,2
0,0.2,0.002,673.7658440959483,G,2
0,0.3,0.013,1486.1686041910402,F,2
0,0.4,0.006,1613.8060024851295,G,2
0.1,0.1.1,0.012,1142.0885931031542,F,2
0.2,0.2.1,0.001,966.6710911090669,G,2
0.3,0.3.1,0.015,2520.734653084646,F,2
0.4,0.4.1,0.003,1626.0122190052036,F,2
0.4,0.4.2,0.003,1627.415946547792,G,2
0.4,0.4.3,0.007,2120.165768380843,G,2
0.2.1,0.2.1.1,0.01,1273.3914295145132,F,2
0.2.1,0.2.1.2,0.004,1347.677878842199,F,2
0.3.1,0.3.1.1,0.01,2820.033992201241,G,2
0.4.1,0.4.1.1,0.003,3559.6747952425494,F,2
0.4.3,0.4.3.1,0.014,2436.5177251180876,G,2
0.4.3,0.4.3.2,0.001,2730.2643575314887,G,2
0.3.1.1,0.3.1.1.1,0.012,2847.868696159344,G,2
0.3.1.1,0.3.1.1.2,0.015,2978.4361922849357,F,2
0.3.1.1,0.3.1.1.3,0.004,3938.8433903564237,G,2
0.3.1.1,0.3.1.1.4,0.011,5630.897232264556,F,2
0.4.3.1,0.4.3.1.1,0.011,2879.1584204212318,H,2
0.4.3.1,0.4.3.1.2,0.004,3234.0340326190103,G,2
0.4.3.2,0.4.3.2.1,0.002,3813.037967475407,H,2
0,0.1,0.005,353.6518067149163,G,4
0,0.1,Inf,152.82042272566125,G,5
0,0.2,0.02,2281.477648352095,G,5
0.1,0.1.1,Inf,508.8200534185261,G,5
0.1,0.1.2,Inf,528.451282370156,G,5
0.1,0.1.3,Inf,2082.0400231267995,G,5
0.2,0.2.1,0.017,2318.7564915859634,F,5
0.2,0.2.2,0.016,2532.609163253741,G,5
0.2,0.2.3,0.008,4347.746125123563,G,5
0.2,0.2.4,0.008,5084.06189497709,G,5
0.2,0.2.5,0.006,5207.002231125483,F,5
0.2,0.2.6,0.007,5720.218560608635,G,5
0.1.2,0.1.2.1,0.014,577.5831445494579,G,5
0.1.3,0.1.3.1,0.003,2166.755335909521,G,5
0.1.3,0.1.3.2,0.001,2726.705946506636,G,5
0.2.4,0.2.4.1,0.001,5593.722013642312,F,5
0.2.6,0.2.6.1,0.0,6640.770825072193,G,5
0.1.3.1,0.1.3.1.1,0.003,2255.9292577682586,H,5
0,0.1,0.014,68.60567898697511,G,8
0,0.2,0.011,1257.6524397218386,G,8
0,0.3,0.003,3160.5426910401607,G,8
0.3,0.3.1,0.01,3835.030818314457,G,8
0,0.1,Inf,171.9226283911058,G,9
0,0.2,0.003,229.76463674621763,G,9
0,0.3,0.0,791.8215305609339,G,9
0,0.4,0.002,1126.9346952531748,G,9
0.1,0.1.1,Inf,1847.0018823520893,G,9
0.4,0.4.1,0.003,1563.2026695306395,F,9
0.4,0.4.2,0.006,1589.738380828813,G,9
0.4.2,0.4.2.1,0.007,1598.825034353715,F,9
0,0.1,0.009,365.03936803350945,G,12
0,0.1,0.008,59.61319963207496,G,15
0,0.2,0.005,409.3766779654871,G,15
0,0.3,0.017,484.98069420948116,G,15
0,0.4,0.01,987.2786300589728,G,15
0,0.5,0.003,1097.4749740533846,F,15
0,0.6,0.003,1702.6924922060666,F,15
0,0.7,0.003,1772.7285403639548,G,15
0.2,0.2.1,0.0,443.3397031231323,G,15
0.2,0.2.2,Inf,1053.6924349876479,G,15
0.3,0.3.1,0.007,519.5728165070022,G,15
0.3,0.3.2,0.006,2498.5834043239156,G,15
0.4,0.4.1,0.006,1909.9182641641687,G,15
0.3.1,0.3.1.1,0.007,623.9137789380361,G,15
0.3.1,0.3.1.2,0.005,796.2108156762852,G,15
0.3.1,0.3.1.3,0.007,1307.1635804817709,G,15
0.3.2,0.3.2.1,0.004,2642.9732212405993,G,15
0.3.1.2,0.3.1.2.1,0.0,844.2476019100918,F,15
0.3.1.2,0.3.1.2.2,0.015,1077.136221854001,G,15
0.3.1.3,0.3.1.3.1,0.001,1545.0676629545337,G,15
0,0.1,0.005,76.86922497395115,G,16
0,0.2,Inf,516.1972194771324,G,16
0,0.1,0.005,46.14029220946447,G,17
0,0.2,0.003,187.29386493682657,G,17
0,0.3,0.002,299.2742772912554,G,17
0,0.4,0.003,384.89297359747917,G,17
0,0.5,0.005,393.1412801993458,F,17
0,0.6,0.014,717.3167474116904,F,17
0.4,0.4.1,0.005,466.08476893690033,G,17
0.4,0.4.2,0.01,663.8632599540781,G,17
0.5,0.5.1,0.01,507.8352475116209,H,17
0.6,0.6.1,0.004,2533.277745715949,F,17
0.4.2,0.4.2.1,0.004,1110.5682924385376,G,17
0.4.2,0.4.2.2,0.005,1259.6070863705822,G,17
0.5.1,0.5.1.1,0.008,508.08955420048005,H,17
0.5.1,0.5.1.2,Inf,950.4286118541083,H,17
0.6.1,0.6.1.1,0.001,3368.893770716996,F,17
0.6.1,0.6.1.2,0.001,3403.3868323821825,G,17
0.4.2.1,0.4.2.1.1,0.001,1325.1448748373548,G,17
0.4.2.2,0.4.2.2.1,0.007,1432.281701211224,G,17
0.4.2.2,0.4.2.2.2,Inf,1514.4313198216262,G,17
0.4.2.2,0.4.2.2.3,0.001,1838.274415727306,G,17
0.4.2.2,0.4.2.2.4,0.001,2073.126957253343,F,17
0.4.2.2,0.4.2.2.5,0.005,2079.612908059962,G,17
0.5.1.1,0.5.1.1.1,0.0,688.575562673049,F,17
0.5.1.2,0.5.1.2.1,Inf,1004.5688973395243,F,17
0.5.1.2,0.5.1.2.2,Inf,1032.1844539621459,F,17
0.5.1.2,0.5.1.2.3,Inf,2374.214558853639,F,17
0.5.1.2,0.5.1.2.4,Inf,2412.2038066975574,F,17
0.6.1.1,0.6.1.1.1,0.003,3550.2384651420666,F,17
0.6.1.2,0.6.1.2.1,Inf,3448.5362330719367,G,17
0.6.1.2,0.6.1.2.2,0.001,4870.908328045752,G,17
0,0.1,0.003,339.23026606125626,G,20
0.1,0.1.1,0.008,373.7066560714177,G,20
0.1,0.1.2,0.006,420.4477332970393,G,20
0.1,0.1.3,0.006,469.1608276478992,G,20
0,0.1,Inf,215.63808501594355,F,21
0,0.2,0.013,624.3374857295701,G,21
0,0.1,0.021,157.8252091513638,G,22
0,0.2,0.015,244.31274386620987,G,22
0,0.3,0.007,1984.3966034465848,G,22
0.1,0.1.1,0.019,1982.9347249271416,G,22
0.2,0.2.1,0.009,262.20722172393266,G,22
0.2,0.2.2,0.012,315.79875881662025,F,22
0.2,0.2.3,0.005,1890.5697627643879,G,22
0.2,0.2.4,0.005,2033.7943469493925,G,22
0.3,0.3.1,0.004,3570.447872038016,G,22
