donor,recipient,distance,timetransmission,contacttype,simid
0,0.1,Inf,305.80921089266093,F,1
0.1,0.1.1,0.012,931.3309238015016,G,1
0.1,0.1.2,0.012,1560.6070597798605,G,1
0.1.1,0.1.1.1,0.0,958.737618613419,F,1
0.1.1,0.1.1.2,0.002,1062.412762543577,G,1
0.1.1,0.1.1.3,0.002,1120.6938969044786,H,1
0.1.1.1,0.1.1.1.1,0.001,1365.2847387875906,F,1
0,0.1,0.008,472.93564535763846,G,2
0,0.1,0.013,194.9892573125373,F,3
0,0.2,0.007,2405.1382410942847,F,3
0.1,0.1.1,0.013,1087.8072185762585,F,3
0.2,0.2.1,0.002,4088.6737644339246,G,3
0.2.1,0.2.1.1,0.003,4207.036673130739,G,3
0.2.1.1,0.2.1.1.1,0.002,5054.537474259564,G,3
0,0.1,0.007,66.33071718495187,F,6
0,0.2,0.01,327.37907893108434,G,6
0,0.3,0.005,529.0483769656096,F,6
0,0.4,0.005,1053.8227355916633,G,6
0,0.5,0.003,1157.8417265665946,G,6
0.2,0.2.1,0.005,406.9045042398539,G,6
0.4,0.4.1,0.011,1078.56649577056,G,6
0,0.1,0.004,153.91817741839165,G,7
0,0.1,Inf,728.8542519420355,F,11
0,0.2,Inf,1458.6111326489465,F,11
0,0.3,Inf,1767.0879549458402,G,11
0,0.4,Inf,2233.688633521452,F,11
0.2,0.2.1,0.002,1553.9665354507836,H,11
0.2.1,0.2.1.1,0.007,1770.9487371569746,H,11
0,0.1,0.005,119.68060222445989,F,12
0,0.2,0.001,227.63419582337252,G,12
0.2,0.2.1,0.0,291.9463412317568,G,12
0.2,0.2.2,0.004,376.9873333795623,F,12
0.2,0.2.3,0.011,1013.8233620060427,G,12
0,0.1,0.0,490.36550999512735,G,13
0.1,0.1.1,0.004,1365.7187479194372,G,13
0.1.1,0.1.1.1,0.003,1418.7878914359776,G,13
0.1.1,0.1.1.2,Inf,1425.589589485368,G,13
0,0.1,Inf,635.0949033719254,G,14
0.1,0.1.1,Inf,767.9096179865003,G,14
0.1,0.1.2,Inf,850.9604124847011,G,14
0.1,0.1.3,Inf,888.5214527030789,H,14
0.1.1,0.1.1.1,Inf,778.9744107071297,G,14
0.1.2,0.1.2.1,0.012,959.9739633219102,G,14
0.1.1.1,0.1.1.1.1,Inf,1030.1719585843439,H,14
0.1.2.1,0.1.2.1.1,0.006,1132.592201705096,G,14
0.1.2.1,0.1.2.1.2,0.003,1528.6389984576979,G,14
0.1.2.1,0.1.2.1.3,0.0,1711.2985604185453,G,14
