donor,recipient,distance,timetransmission,contacttype,simid
0,0.1,0.001,586.646322049871,G,2
0.1,0.1.1,0.005,610.721204482053,G,2
0,0.1,0.006,150.44795841026547,G,3
0,0.2,0.004,1338.3612418091056,G,3
0.2,0.2.1,0.004,1642.898387377326,G,3
0.2,0.2.2,0.009,2577.8384161967547,G,3
0.2.1,0.2.1.1,0.016,2813.6675993087692,G,3
0.2.1,0.2.1.2,0.006,2924.9661306575654,H,3
0.2.1.1,0.2.1.1.1,Inf,3859.5774933884727,G,3
0.2.1.1,0.2.1.1.2,0.002,5757.768120888045,G,3
0.2.1.2,0.2.1.2.1,0.006,3091.200736392928,G,3
0.2.1.2,0.2.1.2.2,0.008,3096.0174243700526,G,3
0.2.1.2,0.2.1.2.3,0.012,3207.893189266528,F,3
0,0.1,0.005,11.182887605934695,G,5
0.1,0.1.1,0.016,12.939283371233197,H,5
0,0.1,0.0,58.22099102865207,G,13
0,0.1,Inf,910.2303734829634,G,14
0,0.1,0.003,1554.58922148286,H,16
0.1,0.1.1,Inf,1675.6583881598085,F,16
0,0.1,0.005,21.727518956586486,G,17
0,0.1,Inf,1365.6306893404317,G,18
0,0.2,0.002,2568.342896099193,G,18
0,0.1,0.002,592.2574326764234,G,20
0,0.1,0.01,147.4004500093759,F,21
0,0.2,0.004,511.9367298020673,F,21
0.1,0.1.1,0.012,849.7618774160015,F,21
0.1,0.1.2,0.001,2021.532452694866,F,21
0.2,0.2.1,0.006,968.2450243144643,F,21
0.1.1,0.1.1.1,0.005,1868.7508019107697,F,21
0,0.1,0.006,1464.8451452319077,F,24
0,0.2,0.004,2075.334608628172,G,24
0,0.3,0.003,2365.4107377663154,G,24
0.2,0.2.1,0.009,2446.189643333434,G,24
0.2,0.2.2,0.003,2563.1612476904993,G,24
0.3,0.3.1,0.003,2605.3637718241584,G,24
0.3,0.3.2,0.009,3717.460699107319,F,24
0.3,0.3.3,0.002,4438.54267531469,G,24
0.2.2,0.2.2.1,Inf,2678.642396994477,G,24
0.2.2.1,0.2.2.1.1,Inf,2923.735670562694,G,24
0.2.2.1,0.2.2.1.2,Inf,2964.4775453201137,F,24
0,0.1,0.006,1943.8997181489003,G,25
0,0.1,0.0,568.2278950479929,G,27
0,0.1,0.0,108.27648965070833,G,28
0,0.2,0.001,402.2176983030575,F,28
0.1,0.1.1,0.003,311.36248933113063,G,28
0.1,0.1.2,0.007,731.2977727311848,F,28
0.1,0.1.3,0.0,1018.756591847171,F,28
0.1.2,0.1.2.1,0.003,1786.0828062387181,F,28
0.1.2.1,0.1.2.1.1,0.001,2105.7767470619797,G,28
0,0.1,0.001,124.1830651236591,G,30
